step_percent,mean_exact,mean_estimate,rel_error_pct,std_estimate,rel_std_pct
10,9715.5,9830.96,1.18845,2660.8,27.3872
20,19342.6,18426.7,4.73533,5214.38,26.9579
30,28947.4,27367.9,5.45626,7966.06,27.5191
40,38525,36951.9,4.08324,9961.82,25.8581
50,48086.4,47216.6,1.80894,10936.5,22.7435
60,57627.6,59071.3,2.50525,15477.5,26.8577
70,67145.9,71385.7,6.31436,18382.6,27.3771
80,76651.7,77725.7,1.4011,17228.4,22.4762
90,86157.7,86461.5,0.352605,18531.5,21.5088
100,95633.8,92716.5,3.05051,18354.8,19.1928
