step_percent,mean_exact,mean_estimate,rel_error_pct,std_estimate,rel_std_pct
10,9716,9703.72,0.126391,544.268,5.60177
20,19339.3,19362.4,0.119623,1032.3,5.33781
30,28939.8,28959.5,0.0683494,1730.31,5.97899
40,38525.1,38404.3,0.313593,2053.29,5.32973
50,48088.2,48056.4,0.0661921,2139.28,4.44866
60,57629.7,57739,0.189697,2528.14,4.38687
70,67154.8,67782.9,0.935257,3327.71,4.95528
80,76663.3,77202.3,0.703109,4601.32,6.00198
90,86151.4,87066.8,1.06254,6128.97,7.11418
100,95631.3,95852.3,0.231082,6875.41,7.1895
