step_percent,mean_exact,mean_estimate,rel_error_pct,std_estimate,rel_std_pct
10,9716.87,9721.07,0.0432786,65.0574,0.66953
20,19345.4,19393.2,0.247106,120.156,0.621112
30,28948.7,28986.8,0.131638,204.475,0.706335
40,38525.3,38503.9,0.0555895,331.678,0.860937
50,48083,48618.5,1.11366,310.438,0.645628
60,57621.6,57790.2,0.29259,370.007,0.642133
70,67145.2,67101.8,0.0646981,466.725,0.695098
80,76650,76556.3,0.122195,602.776,0.7864
90,86147.3,85999.7,0.17124,729.828,0.847187
100,95618.2,95385.6,0.243304,816.653,0.854076
