step_percent,mean_exact,mean_estimate,rel_error_pct,std_estimate,rel_std_pct
10,9721.57,11240.5,15.6245,4144.31,42.6301
20,19353.9,22307.1,15.259,8606.8,44.4707
30,28959.6,30189.8,4.24783,10142.2,35.0217
40,38544.2,39960.5,3.67441,12080.5,31.342
50,48108.7,49366.5,2.61462,13123.6,27.2792
60,57654.1,59663.8,3.48581,14287,24.7806
70,67179.5,68899.2,2.5598,15449.3,22.997
80,76692.1,74590,2.74102,18520.4,24.149
90,86189.8,84062.3,2.46833,19903.1,23.0921
100,95665.9,92717.8,3.08162,22166.6,23.1708
