step_percent,mean_exact,mean_estimate,std_estimate,upper,lower
10,9721.57,11240.5,4144.31,15384.8,7096.2
20,19353.9,22307.1,8606.8,30913.9,13700.3
30,28959.6,30189.8,10142.2,40332,20047.6
40,38544.2,39960.5,12080.5,52041,27880
50,48108.7,49366.5,13123.6,62490.2,36242.9
60,57654.1,59663.8,14287,73950.9,45376.8
70,67179.5,68899.2,15449.3,84348.4,53449.9
80,76692.1,74590,18520.4,93110.4,56069.6
90,86189.8,84062.3,19903.1,103965,64159.2
100,95665.9,92717.8,22166.6,114884,70551.3
