step_percent,mean_exact,mean_estimate,rel_error_pct,std_estimate,rel_std_pct
10,9716.17,9706.77,0.0967518,292.754,3.01306
20,19336.7,19330,0.0345634,610.118,3.15524
30,28942.9,28873.9,0.238262,1048.68,3.62327
40,38522.2,38599.7,0.201173,1336.45,3.4693
50,48085.6,48409.9,0.674465,1507.68,3.1354
60,57628.8,58274.7,1.12086,1888.63,3.27724
70,67148,67569.9,0.628365,1956.5,2.91371
80,76659.2,76770.4,0.145131,2346.41,3.06083
90,86149.2,86926.1,0.901746,3100,3.59841
100,95628.1,96690.9,1.11146,3423.65,3.58018
