step_percent,mean_exact,mean_estimate,std_estimate,upper,lower
10,9710.57,9633.64,491.885,10125.5,9141.76
20,19339.8,19419.4,1027.43,20446.9,18392
30,28940.4,29380.9,1692.55,31073.4,27688.3
40,38525.2,38681.9,2364.86,41046.8,36317.1
50,48088.5,48264.8,3360.62,51625.4,44904.2
60,57623.2,57462.7,3425.21,60887.9,54037.5
70,67144.5,66784.3,3974.91,70759.2,62809.3
80,76649.8,76986.4,4981.63,81968.1,72004.8
90,86140.1,85504.6,5130.87,90635.5,80373.7
100,95615.8,94841.9,6384.92,101227,88457
