step_percent,mean_exact,mean_estimate,std_estimate,upper,lower
10,9716.17,9706.77,292.754,9999.52,9414.01
20,19336.7,19330,610.118,19940.1,18719.9
30,28942.9,28873.9,1048.68,29922.6,27825.2
40,38522.2,38599.7,1336.45,39936.1,37263.2
50,48085.6,48409.9,1507.68,49917.6,46902.2
60,57628.8,58274.7,1888.63,60163.3,56386.1
70,67148,67569.9,1956.5,69526.4,65613.4
80,76659.2,76770.4,2346.41,79116.8,74424
90,86149.2,86926.1,3100,90026.1,83826.1
100,95628.1,96690.9,3423.65,100115,93267.3
