step_percent,mean_exact,mean_estimate,std_estimate,upper,lower
10,9716.37,9730.55,48.8165,9779.37,9681.74
20,19343.8,19352.9,153.129,19506,19199.7
30,28950.1,28891.6,279.302,29170.9,28612.3
40,38537.7,38466.7,356.092,38822.7,38110.6
50,48099.7,48564.9,372.668,48937.6,48192.2
60,57641,57770,464.296,58234.3,57305.7
70,67164.7,67135.7,506.478,67642.1,66629.2
80,76677.7,76607.8,632.716,77240.5,75975.1
90,86169.9,85989.7,630.117,86619.8,85359.6
100,95644.3,95493.5,641.236,96134.7,94852.2
